,researchExp,industryExp,internExp,greV,greQ,journalPubs,confPubs,univName,year,targetRank,admit
174,0,3,6.0,145.0,161.0,0,0,Wayne State University,2014,150,1
175,0,0,0.0,145.0,153.0,0,0,Wayne State University,2013,150,1
176,0,0,0.0,144.0,164.0,0,0,Wayne State University,2015,150,1
177,0,0,0.0,155.0,164.0,0,0,Wayne State University,2015,150,1
178,0,12,3.0,140.0,158.0,1,0,Wayne State University,2015,150,1
179,0,0,0.0,158.0,153.0,0,0,Wayne State University,2011,150,1
180,0,24,0.0,140.0,152.0,0,0,Wayne State University,2015,150,1
181,0,0,0.0,140.0,156.0,0,0,Wayne State University,2011,150,1
182,0,0,0.0,150.0,154.0,0,0,Wayne State University,2014,150,1
183,0,0,0.0,148.0,159.0,0,0,Wayne State University,2012,150,1
184,0,0,0.0,146.0,163.0,0,0,Wayne State University,,150,1
185,0,0,0.0,138.0,155.0,0,0,Wayne State University,2012,150,1
186,0,0,0.0,148.0,156.0,0,0,Wayne State University,2014,150,1
187,0,0,0.0,147.0,162.0,0,0,Wayne State University,2014,150,1
188,0,0,0.0,145.0,159.0,0,0,Wayne State University,2013,150,1
189,0,0,0.0,146.0,157.0,0,0,Wayne State University,2012,150,1
190,0,0,0.0,146.0,152.0,0,0,Wayne State University,2015,150,1
191,0,0,0.0,149.0,159.0,0,0,Wayne State University,2013,150,1
192,0,0,0.0,138.0,162.0,0,0,Wayne State University,2014,150,1
193,0,6,0.0,149.0,162.0,0,0,Wayne State University,2014,150,1
194,0,20,0.0,157.0,164.0,0,0,Wayne State University,2015,150,1
195,15,13,4.0,143.0,157.0,0,0,Wayne State University,2014,150,1
196,0,32,0.0,146.0,155.0,0,0,Wayne State University,2015,150,1
197,0,0,0.0,152.0,155.0,0,0,Wayne State University,2012,150,1
198,0,0,0.0,149.0,153.0,0,0,Wayne State University,2015,150,1
199,0,33,0.0,143.0,148.0,0,0,Wayne State University,2015,150,1
200,0,0,0.0,148.0,157.0,0,0,Wayne State University,2012,150,1
201,0,0,0.0,145.0,157.0,0,0,Wayne State University,2015,150,1
202,0,0,0.0,158.0,157.0,0,0,Wayne State University,2015,150,1
203,0,0,0.0,136.0,155.0,0,0,Wayne State University,2015,150,1
204,0,0,0.0,150.0,158.0,0,0,Wayne State University,2006,150,1
205,0,0,0.0,146.0,166.0,0,0,Wayne State University,2012,150,1
207,0,0,0.0,149.0,164.0,0,0,Wayne State University,2011,150,1
208,0,0,0.0,170.0,136.0,0,0,Wayne State University,2012,150,1
209,0,0,0.0,146.0,156.0,0,0,Wayne State University,2007,150,1
210,0,0,0.0,152.0,151.0,0,0,Wayne State University,2014,150,1
211,0,48,6.0,145.0,163.0,0,0,Wayne State University,2015,150,1
212,0,0,0.0,158.0,154.0,0,0,Wayne State University,2011,150,1
213,0,0,0.0,151.0,153.0,0,0,Wayne State University,2015,150,1
214,0,0,0.0,148.0,155.0,0,0,Wayne State University,2011,150,1
